county_fips,county_name,cases,population,cases_per_100k
0500000US01001,Autauga County,684,55869,1224.29
0500000US01003,Baldwin County,1224,223234,548.30
0500000US01005,Barbour County,398,24686,1612.25
0500000US01007,Bibb County,224,22394,1000.27
0500000US01009,Blount County,307,57826,530.90
0500000US01011,Bullock County,382,10101,3781.80
0500000US01013,Butler County,654,19448,3362.81
0500000US01015,Calhoun County,500,113605,440.12
0500000US01017,Chambers County,690,33254,2074.94
0500000US01019,Cherokee County,128,26196,488.62
0500000US01021,Chilton County,331,44428,745.03
0500000US01023,Choctaw County,213,12589,1691.95
0500000US01025,Clarke County,313,23622,1325.04
0500000US01027,Clay County,85,13235,642.24
0500000US01029,Cleburne County,42,14910,281.69
0500000US01031,Coffee County,429,52342,819.61
0500000US01033,Colbert County,505,55241,914.18
0500000US01035,Conecuh County,232,12067,1922.60
0500000US01037,Coosa County,65,10663,609.59
0500000US01039,Covington County,437,37049,1179.52
0500000US01041,Crenshaw County,131,13772,951.21
0500000US01043,Cullman County,581,83768,693.58
0500000US01045,Dale County,394,49172,801.27
0500000US01047,Dallas County,1009,37196,2712.66
0500000US01049,DeKalb County,951,71513,1329.83
0500000US01051,Elmore County,1047,81209,1289.27
0500000US01053,Escambia County,480,36633,1310.29
0500000US01055,Etowah County,964,102268,942.62
0500000US01057,Fayette County,85,16302,521.41
0500000US01059,Franklin County,937,31362,2987.69
0500000US01061,Geneva County,96,26271,365.42
0500000US01063,Greene County,195,8111,2404.14
0500000US01065,Hale County,353,14651,2409.39
0500000US01067,Henry County,154,17205,895.09
0500000US01069,Houston County,600,105882,566.67
0500000US01071,Jackson County,422,51626,817.42
0500000US01073,Jefferson County,6504,658573,987.59
0500000US01075,Lamar County,88,13805,637.45
0500000US01077,Lauderdale County,571,92729,615.77
0500000US01079,Lawrence County,128,32924,388.77
0500000US01081,Lee County,1611,164542,979.08
0500000US01083,Limestone County,628,98915,634.89
0500000US01085,Lowndes County,485,9726,4986.63
0500000US01087,Macon County,221,18068,1223.16
0500000US01089,Madison County,2150,372909,576.55
0500000US01091,Marengo County,354,18863,1876.69
0500000US01093,Marion County,279,29709,939.11
0500000US01095,Marshall County,1942,96774,2006.74
0500000US01097,Mobile County,4778,413210,1156.31
0500000US01099,Monroe County,258,20733,1244.39
0500000US01101,Montgomery County,4478,226486,1977.16
0500000US01103,Morgan County,1283,119679,1072.03
0500000US01105,Perry County,236,8923,2644.85
0500000US01107,Pickens County,272,19930,1364.78
0500000US01109,Pike County,478,33114,1443.50
0500000US01111,Randolph County,260,22722,1144.27
0500000US01113,Russell County,683,57961,1178.38
0500000US01115,St. Clair County,528,89512,589.87
0500000US01117,Shelby County,1674,217702,768.94
0500000US01119,Sumter County,292,12427,2349.72
0500000US01121,Talladega County,406,79978,507.64
0500000US01123,Tallapoosa County,637,40367,1578.02
0500000US01125,Tuscaloosa County,2654,209355,1267.70
0500000US01127,Walker County,1077,63521,1695.50
0500000US01129,Washington County,144,16326,882.03
0500000US01131,Wilcox County,306,10373,2949.97
0500000US01133,Winston County,300,23629,1269.63
0500000US02013,Aleutians East Borough,0,3337,0.00
0500000US02016,Aleutians West Census Area,0,5634,0.00
0500000US02020,Municipality of Anchorage,671,288000,232.99
0500000US02050,Bethel Census Area,6,18386,32.63
0500000US02060,Bristol Bay Borough,0,836,0.00
0500000US02068,Denali Borough,0,2097,0.00
0500000US02070,Dillingham Census Area,0,4916,0.00
0500000US02090,Fairbanks North Star Borough,224,96849,231.29
0500000US02100,Haines Borough,2,2530,79.05
0500000US02105,Hoonah-Angoon Census Area,0,2148,0.00
0500000US02110,City and Borough of Juneau,48,31974,150.12
0500000US02122,Kenai Peninsula Borough,191,58708,325.34
0500000US02130,Ketchikan Gateway Borough,21,13901,151.07
0500000US02150,Kodiak Island Borough,3,12998,23.08
0500000US02164,Lake and Peninsula Borough,0,1592,0.00
0500000US02170,Matanuska-Susitna Borough,134,108317,123.71
0500000US02180,Nome Census Area,5,10004,49.98
0500000US02185,North Slope Borough,4,9832,40.68
0500000US02188,Northwest Arctic Borough,4,7621,52.49
0500000US02195,Petersburg Census Area,4,3266,122.47
0500000US02198,Prince of Wales-Hyder Census Area,2,6203,32.24
0500000US02220,Sitka City and Borough,11,8493,129.52
0500000US02230,Skagway Municipality,0,1183,0.00
0500000US02240,Southeast Fairbanks Census Area,3,6893,43.52
0500000US02261,Valdez-Cordova Census Area,0,9202,0.00
0500000US02270,Wade Hampton Census Area,0,8314,0.00
0500000US02275,Wrangell City and Borough,3,2502,119.90
0500000US02282,Yakutat City and Borough,0,579,0.00
0500000US02290,Yukon-Koyukuk Census Area,2,5230,38.24
0500000US04001,Apache County,2551,71887,3548.63
0500000US04003,Cochise County,1020,125922,810.03
0500000US04005,Coconino County,2427,143476,1691.57
0500000US04007,Gila County,439,54018,812.69
0500000US04009,Graham County,201,38837,517.55
0500000US04011,Greenlee County,32,9498,336.91
0500000US04012,La Paz County,398,21108,1885.54
0500000US04013,Maricopa County,78481,4485414,1749.69
0500000US04015,Mohave County,1759,212181,829.01
0500000US04017,Navajo County,4279,110924,3857.60
0500000US04019,Pima County,11443,1047279,1092.64
0500000US04021,Pinal County,5513,462789,1191.26
0500000US04023,Santa Cruz County,2162,46498,4649.66
0500000US04025,Yavapai County,1082,235099,460.23
0500000US04027,Yuma County,8143,213787,3808.93
0500000US05001,Arkansas County,56,17486,320.26
0500000US05003,Ashley County,97,19657,493.46
0500000US05005,Baxter County,29,41932,69.16
0500000US05007,Benton County,3416,279141,1223.75
0500000US05009,Boone County,46,37432,122.89
0500000US05011,Bradley County,75,10763,696.83
0500000US05013,Calhoun County,2,5189,38.54
0500000US05015,Carroll County,225,28380,792.81
0500000US05017,Chicot County,210,10118,2075.51
0500000US05019,Clark County,75,22320,336.02
0500000US05021,Clay County,80,14551,549.79
0500000US05023,Cleburne County,130,24919,521.69
